head	lemma	derivation	category	new_meaning	anagha_annotated
H1	su	su	dhaatu	to go, move	(to go, move)
H1	su	su	dhaatu	to urge, impel, incite, to possess supremacy	(to urge, impel, incite), (to possess supremacy)
H1	su	su	dhaatu	to press out, extract, to distil	(to press out, extract), (to distil)
H1	su	su	dhaatu	to beget, bring forth	(to beget), (bring forth)
H1	su	su/	upasarga	to become, to lengthen a preceding vowel, good, excellent, right, virtuous, beautiful, easy, well, rightly, much, greatly, very, any, easily, willingly, quickly	(to become), (to lengthen a preceding vowel), (good, excellent), (right, virtuous, well, rightly), (beautiful), (easy, easily), (much, very), (greatly), (any), (willingly), (quickly)
H1	han	han	naama-dhaatu	to strike, beat, pound, hammer, strike upon, to smite, slay, hit, kill, mar, destroy, to put to death, cause to be executed, to strike off, to ward off, avert, to hurt, wound, to hurl upon, to touch, come into contact, to obstruct, hinder, to repress, give up, abandon, to be struck, killed, to cause to be slain, killed, kill, slay, put to death, punish, to notify a person's death, to mar, destroy, to wish to kill, destroy, to strike or tread upon, to slay, kill, to dispel, destroy, to hurt, injure, wound	(to strike, beat, pound, hammer, strike upon), (to smite, slay, hit, kill, mar, destroy), (to put to death, cause to be executed), (to strike off), (to ward off, avert), (to hurt, wound), (to hurl upon), (to touch, come into contact), (to obstruct, hinder), (to repress, give up, abandon), (to be struck, killed), (to cause to be slain, killed, kill, slay, put to death, punish), (to notify a person's death), (to mar, destroy), (to wish to kill, destroy), (to strike or tread upon), (to slay, kill), (to dispel, destroy), (to hurt, injure, wound)
H1	han	han	dhaatu	killing, a killer, slayer	(killing), (a killer, slayer)
H1	hari	hari	praatipadika	bearing, carrying	(bearing, carrying)
H1	hari	ha/ri	praatipadika	fawn-coloured, reddish brown, brown, tawny, pale yellow, yellow, fallow, bay, green, greenish	(fawn-coloured, reddish brown, brown, tawny, fallow, bay), (pale yellow, yellow), (green, greenish)
H1	hari	ha/ri	praatipadika	yellow, reddish brown, green	(yellow), (reddish brown), (green)
H1	hari	ha/ri	praatipadika	a horse, steed	(a horse, steed)
H1	hari	ha/ri	praatipadika	a lion	(a lion)
H1	hari	ha/ri	praatipadika	the sign of the zodiac Leo	(the sign of the zodiac Leo)
H1	hari	ha/ri	praatipadika	the sun	(the sun)
H1	hari	ha/ri	praatipadika	Name of Yama	(Name of Yama)
H1	hari	ha/ri	praatipadika	a monkey	(a monkey)
H1	hari	ha/ri	praatipadika	a ray of light, the moon, Phaseolus Mungo, a jackal, a parrot, a peacock, the Koil or Indian cuckoo, a goose, a frog, a snake, fire	(a ray of light), (the moon), (Phaseolus Mungo), (a jackal), (a parrot), (a peacock), (the Koil or Indian cuckoo), (a goose), (a frog), (a snake), (fire)
H1	hari	ha/ri	praatipadika	the wind, Name of Vāyu	(the wind, Name of Vāyu)
H1	hari	ha/ri	praatipadika	Name of Indra	(Name of Indra)
H1	hari	ha/ri	praatipadika	Name of Viṣṇu-Kṛṣṇa	(Name of Viṣṇu-Kṛṣṇa)
H1	hari	ha/ri	praatipadika	Name of Brahmā	(Name of Brahmā)
H1	hari	ha/ri	praatipadika	Name of Śiva	(Name of Śiva)
H1	hari	ha/ri	praatipadika	Name of Śukra	(Name of Śukra)
H1	hari	ha/ri	praatipadika	Name of Suparṇa	(Name of Suparṇa)
H1	hari	ha/ri	praatipadika	Name of a Dānava	(Name of a Dānava)
H1	hari	ha/ri	praatipadika	Name of a son of Garuḍa	(Name of a son of Garuḍa)
H1	hari	ha/ri	praatipadika	Name of a Rākṣasa	(Name of a Rākṣasa)
H1	hari	ha/ri	praatipadika	Name of a mountain	(Name of a mountain)
H1	hari	ha/ri	praatipadika	Name of a son of Akampana	(Name of a son of Akampana)
H1	hari	ha/ri	praatipadika	Name of a son of Tārakākṣa	(Name of a son of Tārakākṣa)
H1	hari	ha/ri	praatipadika	Name of a son of Parājit	(Name of a son of Parājit)
H1	hari	ha/ri	praatipadika	Name of a son of Parāvṛt	(Name of a son of Parāvṛt)
H1	hari	ha/ri	praatipadika	Name of a worshipper of Viṣṇu	(Name of a worshipper of Viṣṇu)
H1	hari	ha/ri	praatipadika	Name of various authors, scholars	(Name of various authors, scholars)
H1	hari	ha/ri	praatipadika	Name of a metre	(Name of a metre)
H1	hari	ha/ri	praatipadika	Name of a world	(Name of a world)
H1	hari	ha/ri	praatipadika	Name of a particular high number	(Name of a particular high number)
H1	hari	ha/ri	praatipadika	a particular class of gods under Manu Tāmasa	(a particular class of gods under Manu Tāmasa)
H1	hari	ha/ri	praatipadika	men, people	(men), (people)
H1	hari	hari	praatipadika	an exclamation	(an exclamation)
H1	hi	hi	dhaatu	to send forth, set in motion, impel, urge on, hasten on, to stimulate, incite to, to assist, help to, to discharge, hurl, cast, shoot, to convey, bring, procure, to forsake, abandon, get rid of,to gladden, delight	(to send forth), (set in motion), (impel, urge on), (hasten on), (to stimulate, incite to), (to assist, help to), (to discharge, hurl), (cast, shoot), (to convey), (bring), (procure), (to forsake, abandon, get rid of), (to gladden, delight)
H1	hi	hi/	dhaatu	for, because, on account of	(for, because, on account of)
H1	hi	hi/	avyaya	just, pray, do	(just), (pray), (do)
H1	hi	hi/	dhaatu	indeed, assuredly, surely, of course, certainly, most assuredly, indeed-but, often a mere expletive, especially to avoid a hiatus, sometimes repeated in the same sentence, an interjection of envy and contempt and hurry	(indeed, assuredly, surely, of course, certainly, most assuredly), (indeed-but, often a mere expletive, especially to avoid a hiatus), (sometimes repeated in the same sentence), (an interjection of envy and contempt and hurry)
